                original          NewStemmer
919                 warm                warm
920                 full                full
921                Areas                Area
922                Seixo               Seixo
923          realization               reale
924                  one                 one
925                dream               dream
926                dream               dream
927                found               found
928                dream               dream
929             kindness                kind
930                 nice                nice
931               people              people
932              magical               magic
933              perfect             perfect
934                place               place
935                stars                star
936                since               since
937          hospitality            hospital
938                 dcor                dcor
939                  One                 One
940                place               place
941                 come                come
942                 back                back
943             remember            remember
944                space               space
945                 dcor                dcor
946              amazing               amaze
947                staff               staff
948             Congrats             Congrat
949                 team                team
950                 want                want
951                 come                come
952                 back                back
953              Magical               Magic
954                place               place
955            fantastic             fantast
956                 view                view
957           atmosphere          atmosphere
958               lovely              lovely
959              service             service
960                great               great
961                 food                food
962            Brilliant           Brilliant
963                 room                room
964                   go                  go
965             changing               chang
966                peace               peace
967                 calm                calm
968                  lot                 lot
969              quality             quality
970                 Chef                Chef
971             Leonardo            Leonardo
972              Pereira             Pereira
973              amazing               amaze
974                words                word
975               Unique              Unique
976           experience          experience
977               Silver              Silver
