                original          NewStemmer
2945                food                food
2946               Thank               Thank
2947                much                much
2948           wonderful              wonder
2949          experience          experience
2950              really              really
2951                want                want
2952                come                come
2953                back                back
2954               Thank               Thank
2955            pleasure            pleasure
2956               spend               spend
2957               first               first
2958         anniversary         anniversary
2959             waiting                wait
2960              Thanks               Thank
2961             courage             courage
2962             passion             passion
2963                 put                 put
2964               every               every
2965                dish                dish
2966             observe             observe
2967          restaurant          restaurant
2968               Areas                Area
2969               Seixo               Seixo
2970                best                best
2971                come                come
2972                back                back
2973               staff               staff
2974               cooks                cook
2975               Thank               Thank
2976               place               place
2977           breathing              breath
2978                love                love
2979              detail              detail
2980           affection              affect
2981            careness                care
2982             special             special
2983            handling               handl
2984               loved                love
2985                want                want
2986                come                come
2987                back                back
2988            kindness                kind
2989         hospitality            hospital
2990                will                will
2991              return              return
2992               Every               Every
2993                time                time
2994                came                come
2995                time                time
2996           difficult           difficult
2997               leave               leave
2998             magical               magic
2999               place               place
3000              Thanks               Thank
3001               Marta               Marta
3002            Gonfalon            Gonfalon
3003                team                team
3004                will                will
3005                 see                 see
3006                soon                soon
3007                Nice                Nice
3008               place               place
3009             amazing               amaze
3010               staff               staff
3011               Thank               Thank
3012                stay                stay
3013                will                will
3014                come                come
3015                back                back
3016                soon                soon
3017           Delicious              Delicy
3018             cuisine             cuisine
3019             sublime             sublime
3020            location              locate
3021               Thank               Thank
3022             special             special
3023                 day                 day
3024             special             special
3025               place               place
3026               place               place
3027            remember            remember
3028           recommend           recommend
3029               fires                fire
3030                view                view
3031              Thanks               Thank
3032           wonderful              wonder
3033               night               night
3034           fantastic             fantast
3035                 day                 day
3036                want                want
3037                will                will
3038                come                come
3039                back                back
3040           Excellent           Excellent
3041             service             service
3042            dreamful              dreome
3043               place               place
3044               light               light
3045           beautiful              beauty
3046           essential              essent
3047           Wonderful              Wonder
3048               place               place
3049           wonderful              wonder
3050              people              people
3051           wonderful              wonder
3052             weather             weather
3053               Thank               Thank
3054             special             special
3055               thank               thank
3056           Yuliyafor           Yuliyafor
3057                 big                 big
3058                kiss                kiss
3059               huges                huge
3060               Areas                Area
3061               Seixo               Seixo
3062                team                team
3063              pretty              pretty
3064             special             special
3065               place               place
3066           recommend           recommend
3067               loved                love
3068              design              design
3069               charm               charm
3070          simplicity          simplicity
3071            elegance            elegance
3072                real                real
3073              luxury              luxury
3074               thank               thank
3075              aspect              aspect
3076            improved             improve
3077          understand          understand
3078               staff               staff
3079               needs                need
3080            flexible            flexible
3081        negotiations              negoty
3082                slow                slow
3083         ceremonious            ceremony
3084              missed                 mis
3085         information              inform
3086       possibilities            possibil
3087          activities            activity
3088          excursions              excurs
3089        surroundings            surround
3090             service             service
3091               magic               magic
3092              unique              unique
3093               place               place
3094     Congratulations           Congratul
3095               loved                love
3096              design              design
3097               charm               charm
3098          simplicity          simplicity
3099            elegance            elegance
3100                real                real
3101              luxury              luxury
3102                good                good
3103             company             company
3104               today               today
3105              thanks               thank
3106            paradise            paradise
3107              aspect              aspect
3108            improved             improve
3109          understand          understand
3110               staff               staff
3111               needs                need
3112            flexible            flexible
3113        negotiations              negoty
3114                slow                slow
3115         ceremonious            ceremony
3116              missed                 mis
3117         information              inform
3118       possibilities            possibil
3119          activities            activity
3120          excursions              excurs
3121        surroundings            surround
3122               Hello               Hello
3123            JosThank            JosThank
3124                much                much
3125                help                help
3126             finding                find
3127               hotel               hotel
3128               guess               guess
3129                fall                fall
3130            paradise            paradise
3131              areias               areia
3132               seixo               seixo
3133                crap                crap
3134               hotel               hotel
3135               ended                 end
3136           nightmare           nightmare
3137             finally             finally
3138             managed              manage
3139            finalize               final
3140           fantastic             fantast
3141             holiday             holiday
3142          simplicity          simplicity
3143           happiness               happy
3144             perfect             perfect
3145                stay                stay
3146               Areas                Area
3147               Seixo               Seixo
3148             MAGICAL             MAGICAL
3149               thank               thank
3150              making                 mak
3151              happen              happen
3152                feel                feel
3153           honeymoon           honeymoon
3154                real                real
3155           honeymoon           honeymoon
3156              nature              nature
3157                food                food
3158        architecture        architecture
3159              people              people
3160            obrigado            obrigado
3161                look                look
3162             forward             forward
3163                come                come
3164           wonderful              wonder
3165             magical               magic
3166                Last                Last
3167              Sunday              Sunday
3168               group               group
3169               three               three
3170              people              people
3171               lunch               lunch
3172          restaurant          restaurant
3173              chosen               chose
3174             tasting                tast
3175                menu                menu
3176                meat                meat
3177                dish                dish
3178              served                serv
3179           partridge           partridge
3180              celery              celery
3181               puree               puree
3182                sure                sure
3183             kitchen              kitche
3184                team                team
3185                will                will
3186              recall              recall
3187                 one                 one
3188              dishes                dish
3189                sent                sent
3190                back                back
3191          partridges           partridge
3192              breast              breast
3193               blood               blood
3194              cooked                cook
3195            properly              proper
3196               turns                turn
3197                case                case
3198                also                also
3199            happened               happe
3200           partridge           partridge
3201              breast              breast
3202             arrived              arrive
3203               table               table
3204               quite               quite
3205                rare                rare
3206           including              includ
3207                 raw                 raw
3208              center              center
3209           stupidity           stupidity
3210             decided              decide
3211               speak               speak
3212                even                 eve
3213           ignorance           ignorance
3214             confess             confess
3215             thought             thought
3216               might               might
3217                even                 eve
3218           intention              intent
3219                chef                chef
3220             similar             similar
3221             happens               happe
3222              pigeon              pigeon
3223              breast              breast
3224              served                serv
3225                rare                rare
3226                 bad                 bad
3227                time                time
3228               since               since
3229           yesterday           yesterday
3230                meet                meet
3231                food                food
3232           poisoning              poison
3233          salmonella          salmonella
3234              strong              strong
3235              enough              enough
3236             purpose             purpose
3237             contact             contact
3238             passing               passe
3239         information              inform
3240             kitchen              kitche
3241          especially            especial
3242                Chef                Chef
3243            Leonardo            Leonardo
3244             Pereira             Pereira
3245             balance             balance
3246                meal                meal
3247            positive               posit
3248             stained               stain
3249            incident               incid
3250            Mistakes             Mistake
3251              happen              happen
3252            everyone            everyone
3253               think               think
3254                case                case
3255             serious             serious
3256        consequences             consequ
3257            happened               happe
3258              unable              unable
3259                work                work
3260               since               since
3261           yesterday           yesterday
3262               owner               owner
3263               small               small
3264          restaurant          restaurant
3265              brings               bring
3266                 lot                 lot
3267            problems             problem
3268                fact                fact
3269             matters              matter
3270                food                food
3271            security            security
3272           redoubled             redoubl
3273           intention              intent
3274                harm                harm
3275             project             project
3276            consider            consider
3277                much                much
3278               merit               merit
3279              wanted                want
3280                done                done
3281           complaint           complaint
3282              social              social
3283            networks             network
3284              rather              rather
3285              hereby              hereby
3286           wonderful              wonder
3287          experience          experience
3288             ordered               order
3289             Tasting                Tast
3290                Menu                Menu
3291                menu                menu
3292           excellent               excel
3293                Chef                Chef
3294             Leonard             Leonard
3295         congregated             congreg
3296        expectations              expect
3297                Last                Last
3298              Sunday              Sunday
3299                went                went
3300             friends              friend
3301               lunch               lunch
3302               hotel               hotel
3303          restaurant          restaurant
3304             amazing               amaze
3305          experience          experience
3306                team                team
3307                kind                kind
3308           attentive              attent
3309     Congratulations           Congratul
3310               thank               thank
3311       Unfortunately         Unfortunate
3312                said                 say
3313            waitress            waitress
3314             ordered               order
3315             tasting                tast
3316                menu                menu
3317               asked                 ask
3318               apart               apart
3319             choices              choice
3320              letter              letter
3321            proposal              propos
3322                Food                Food
3323             Pairing                Pair
3324                menu                menu
3325                told                told
3326                 yes                  ye
3327            proposal              propos
3328            tailored              tailor
3329                menu                menu
3330               since               since
3331                vary                vary
3332           frequency           frequency
3333               among               among
3334              whites               white
3335                reds                   r
3336             dessert             dessert
3337               asked                 ask
3338               price               price
3339                 per                 per
3340              person              person
3341              option              option
3342            informed              inform
3343                 per                 per
3344            personWe            personWe
3345              served                serv
3346             several               sever
3347               wines                wine
3348               glass               glass
3349                meal                meal
3350               white               white
3351                 red                 red
3352             dessert             dessert
3353                Food                Food
3354             Pairing                Pair
3355                went                went
3356              better              better
3357              dishes                dish
3358         opportunity            opportun
3359             discuss             discuss
3360            waitress            waitress
3361         challenging            challeng
3362              dishes                dish
3363                last                last
3364            onethank            onethank
3365              taking                 tak
3366                care                care
3367              kindly              kindly
3368                kiss                kiss
3369                 far                 far
3370                good                good
3371              people              people
3372             working                work
3373           welcoming              welcom
3374             amazing               amaze
3375               Thank               Thank
3376                much                much
3377             problem             problem
3378         unfortunate            unfortun
3379             happens               happe
3380             emerged               emerg
3381               shows                show
3382             account             account
3383                 see                 see
3384             picture             picture
3385            attached              attach
3386             Instead             Instead
3387            expected              expect
3388                wine                wine
3389                   x                   x
3390             charged               charg
3391             glasses               glass
3392                wine                wine
3393             ordered               order
3394                  la                  la
3395               carte               carte
3396          separately            separate
3397                 Now                 Now
3398                sold                sold
3399        considerably          considerab
3400              higher              higher
3401                cost                cost
3402                  vs                   v
3403               staff               staff
3404              served                serv
3405            precious             preciou
3406               place               place
3407                full                full
3408             details              detail
3409             weekend             weekend
3410                nice                nice
3411                meal                meal
3412                mark                mark
3413          experience          experience
3414               Given                Give
3415               hotel               hotel
3416           operation                oper
3417               level               level
3418               think               think
3419          situations             situate
3420          acceptable              accept
3421                dcor                dcor
3422                food                food
3423            kindness                kind
3424         exceptional              except
3425               place               place
3426                come                come
3427                back                back
3428           delighted             delight
3429               rooms                room
3430               staff               staff
3431                  go                  go
3432                want                want
3433               thank               thank
3434               whole               whole
3435           attention           attention
3436            kindness                kind
3437                stay                stay
3438               Areas                Area
3439               Seixo               Seixo
3440              really              really
3441             enjoyed               enjoy
3442               hotel               hotel
3443             service             service
3444          splendidIt          splendidIt
3445              really              really
3446          experience          experience
3447            everyone            everyone
3448                 ask                 ask
3449         communicate              commun
3450           marketing              market
3451          department              depart
3452               loved                love
3453             receive             receive
3454              offers               offer
3455               email               email
3456         communicate              commun
3457                team                team
3458           intention              intent
3459           recommend           recommend
3460            whenever            whenever
3461      possibleHoping         possibleHop
3462            continue            continue
3463                good                good
3464        relationship        relationship
3465                 say                 say
3466             goodbye             goodbye
3467                high                high
3468              regard              regard
3469               staff               staff
3470                food                food
3471             amazing               amaze
3472             healthy             healthy
3473             cutting                 cut
3474                edge                edge
3475          restaurant          restaurant
3476             special             special
3477               hotel               hotel
3478              unique              unique
3479         environment         environment
3480               front               front
3481            splendid            splendid
3482               beach               beach
3483                used                 use
3484             surfing                surf
3485                area                area
3486       Environmental         Environment
3487            friendly            friendly
3488            original              origin
3489              design              design
3490               using                 use
3491            recycled              recycl
3492           materials            material
3493             organic               organ
3494              garden               garde
3495              thanks               thank
3496       extraordinary       extraordinary
3497                team                team
3498     Congratulations           Congratul
3499             Picture             Picture
3500               place               place
3501             besides              beside
3502             amazing               amaze
3503                dcor                dcor
3504                also                also
3505          restaurant          restaurant
3506                envy                envy
3507            multiple            multiple
3508               Areas                Area
3509               Seixo               Seixo
3510               Since               Since
3511        architecture        architecture
3512           fireplace           fireplace
3513                till                till
3514                huge                huge
3515           skylights            skylight
3516                room                room
3517              brings               bring
3518             maximum             maximum
3519             comfort             comfort
3520           different              differ
3521                full                full
3522            tasteful               taste
3523             details              detail
3524     Congratulations           Congratul
3525               hotel               hotel
3526               weeks                week
3527                 ago                 ago
3528             amazing               amaze
3529          experience          experience
3530                room                room
3531        surroundings            surround
3532                full                full
3533              nature              nature
3534               bossa               bossa
3535                nova                nova
3536             session             session
3537              garden               garde
3538           pampering              pamper
3539             cookies               cooky
3540                home                home
3541              madeit              madeit
3542               great               great
3543           breakfast           breakfast
3544            opposite            opposite
3545               great               great
3546              course              course
3547            personal              person
3548              matter              matter
3549          restaurant          restaurant
3550           diversity           diversity
3551         considering            consider
3552              dishes                dish
3553             offered               offer
3554              dishes                dish
3555         alternative              altern
3556              Miguel              Miguel
3557                 ate                 ate
3558             matured               matur
3559                meat                meat
3560                meat                meat
3561               tough               tough
3562              failed                fail
3563              finish              finish
3564                dish                dish
3565           wonderful              wonder
3566                dcor                dcor
3567                cozy                cozy
3568               hotel               hotel
3569            adorable                ador
3570                food                food
3571              Exotic              Exotic
3572               hotel               hotel
3573                full                full
3574          refinement               refin
3575                food                food
3576             organic               organ
3577            products             product
3578                also                also
3579           beautiful              beauty
3580               dunes                dune
3581             beaches               beach
3582           fantastic             fantast
3583                stay                stay
3584               Areas                Area
3585               Seixo               Seixo
3586           wonderful              wonder
3587               hotel               hotel
3588               great               great
3589         environment         environment
3590           delicious           delicious
3591                food                food
3592             amazing               amaze
3593               rooms                room
3594               whole               whole
3595              nature              nature
3596         environment         environment
3597                also                also
3598                calm                calm
3599           beautiful              beauty
3600          experience          experience
3601               thing               thing
3602          definitely            definite
3603               needs                need
3604            improved             improve
3605           extremely             extreme
3606                slow                slow
3607                WiFi                WiFy
3608             website             website
3609               never               never
3610               loads                load
3611              became              become
3612           stressful              stress
3613           situation             situate
3614               think               think
3615             totally             totally
3616         unnecessary         unnecessary
3617               Today               Today
3618              expect              expect
3619                work                work
3620                fine                fine
3621               small               small
3622               Navio               Navio
3623          restaurant          restaurant
3624                even                 eve
3625              better              better
3626          connection             connect
3627          understood          understood
3628                able                able
3629                 use                 use
3630                 one                 one
3631           computers            computer
3632           reception              recept
3633                also                also
3634             another             another
3635              faster              faster
3636          connection             connect
3637           Yesterday           Yesterday
3638               drive               drive
3639          restaurant          restaurant
3640               Areas                Area
3641               Seixo               Seixo
3642               enjoy               enjoy
3643               peace               peace
3644             praised               prais
3645             quality             quality
3646         environment         environment
3647             flavors              flavor
3648                feel                feel
3649             problem             problem
3650              prices               price
3651          exorbitant             exorbit
3652            compared              compar
3653               staff               staff
3654               seems                seem
3655              notice              notice
3656                gift                gift
3657           honeymoon           honeymoon
3658            informed              inform
3659           reception              recept
3660             totally             totally
3661           unnoticed            unnotice
3662               euros                euro
3663                 per                 per
3664               night               night
3665                 cut                 cut
3666               grass               grass
3667               front               front
3668              midday              midday
3669                room                room
3670                 six                 six
3671              oclock              oclock
3672                Also                Also
3673                want                want
3674        receptionist        receptionist
3675              treats               treat
3676                best                best
3677              friend              friend
3678          exceptions              except
3679              course              course
3680               staff               staff
3681            employee            employee
3682          restaurant          restaurant
3683            cleaners             cleaner
3684             playing                play
3685              loudly                loud
3686              desert              desert
3687            confused             confuse
3688              warmth              warmth
3689        availability           availabil
3690                lack                lack
3691     professionalism          profession
3692               hotel               hotel
3693               still               still
3694             travels              travel
3695               order               order
3696            hundreds               hundr
3697               euros                euro
3698                 per                 per
3699                room                room
3700               hotel               hotel
3701                cost                cost
3702             quarter             quarter
3703            personal              person
3704               level               level
3705              unique              unique
3706                made                make
3707         reservation              reserv
3708            browsing              browse
3709                site                site
3710             reading                read
3711              Evases               Evase
3712            magazine            magazine
3713           reopening               reope
3714                idea                idea
3715           necessary           necessary
3716               every               every
3717              single              single
3718             details              detail
3719              unique              unique
3720              smells               smell
3721       kindnessThank       kindnessThank
3722              making                 mak
3723             special             special
3724               night               night
3725              became              become
3726              unique              unique
3727             Regards              Regard
3728                chef                chef
3729            Leonardo            Leonardo
3730             Pereira             Pereira
3731          authorized              author
3732           exception              except
3733          lunchThere          lunchThere
3734               words                word
3735             express             express
3736           gratitude           gratitude
3737         kindnessAnd         kindnessAnd
3738           memorable               memor
3739              dining                 din
3740          experience          experience
3741               Since               Since
3742                care                care
3743           education                educ
3744           employees            employee
3745         combination              combin
3746             flavors              flavor
3747        friendliness            friendly
3748                chef                chef
3749            Leonardo            Leonardo
3750             Pereira             Pereira
3751              kindly              kindly
3752           presented             present
3753            surprise            surprise
3754           dessertIt           dessertIt
3755               great               great
3756        appreciation             apprecy
3757                mean                mean
3758              approx              approx
3759                trip                trip
3760                  km                  km
3761               worth               worth
3762           wonderful              wonder
3763        experienceIn        experienceIn
3764              regard              regard
3765                must                must
3766          complement          complement
3767            elements             element
3768                team                team
3769             service             service
3770                food                food
3771          atmosphere          atmosphere
3772           extremely             extreme
3773                high                high
3774            standard            standard
3775              posted                post
3776              review              review
3777         tripadvisor         tripadvisor
3778               great               great
3779                stay                stay
3780          absolutely            absolute
3781               loved                love
3782               place               place
3783               Thank               Thank
3784               whole               whole
3785               staff               staff
3786            treating              treate
3787           Everybody           Everybody
3788           fantastic             fantast
3789                 way                 way
3790                home                home
3791                 NYC                 NYC
3792               spoke               spoke
3793             English             English
3794              couple              couple
3795               hotel               hotel
3796             already             already
3797             looking                look
3798            planning                plan
3799                  go                  go
3800            Obrigado            Obrigado
3801     Congratulations           Congratul
3802               Areas                Area
3803               Seixo               Seixo
3804              better              better
3805           beautiful              beauty
3806               every               every
3807                time                time
3808                made                make
3809               wifes                wife
3810                  th                  th
3811            birthday            birthday
3812               party               party
3813                 one                 one
3814                best                best
3815           beautiful              beauty
3816             parties               party
3817            attended              attend
3818                book                book
3819               hotel               hotel
3820               wrote               wrote
3821         destination         destination
3822                  go                  go
3823              Unique              Unique
3824            location              locate
3825            spacious             spaciou
3826               rooms                room
3827                cozy                cozy
3828                nice                nice
3829             terrace             terrace
3830                room                room
3831              garden               garde
3832                 sea                 sea
3833                view                view
3834                  wc                  wc
3835            enormous            enormous
3836           brilliant           brilliant
3837            weakness               weake
3838           luxurious              luxury
3839          decoration               decor
3840          restaurant          restaurant
3841             missing               misse
3842              mirror              mirror
3843                  wc                  wc
3844              policy              policy
3845            children             childre
3846                make                make
3847              choose              choose
3848         childrenYou           childrenY
3849         gayfriendly           gayfriend
3850    antibullfighting       antibullfight
3851            friendly            friendly
3852         zenfriendly           zenfriend
3853      trendyfriendly        trendyfriend
3854            friendly            friendly
3855             smoking                smok
3856              regret              regret
3857            children             childre
3858              guests               guest
3859            nuisance            nuisance
3860            Children             Childre
3861              aliens                alie
3862               world               world
3863               right               right
3864               enjoy               enjoy
3865              attend              attend
3866              places               place
3867         regrettable              regret
3868            nuisance            nuisance
3869               spent               spent
3870               years                year
3871                life                life
3872           passively             passive
3873              endure              endure
3874               smoke               smoke
3875           addiction              addict
3876              others               other
3877              public              public
3878              places               place
3879              doubly                doub
3880         unfortunate            unfortun
3881             country             country
3882              worlds               world
3883            smallest               small
3884               birth               birth
3885                rate                rate
3886             respect             respect
3887            children             childre
3888           wonderful              wonder
3889                room                room
3890                 mix                 mix
3891              rustic              rustic
3892              modern              modern
3893       Unfortunately         Unfortunate
3894                 day                 day
3895                 tub                 tub
3896            enormous            enormous
3897               Great               Great
3898              people              people
3899                want                want
3900               relax               relax
3901               staff               staff
3902             helpful                help
3903             arrived              arrive
3904              served                serv
3905                 tea                 tea
3906            homemade            homemake
3907                cake                cake
3908                fact                fact
3909                 eat                 eat
3910                come                come
3911               hotel               hotel
3912              garden               garde
3913         Highquality         Highquality
3914          gastronomy          gastronomy
3915        congratulate        congratulate
3916                team                team
3917             perfect             perfect
3918               break               break
3919             getHope             getHope
3920                come                come
3921                back                back
3922                soon                soon
3923            possible            possible
